idx,question,gold,pred,hit@1,hit@3,hit@5,hit@10,precision@1,precision@3,precision@5,precision@10,rr@1,rr@3,rr@5,rr@10,em,f1,rougeL,bleu,retriever,generator
241,who is in the cast of the handmaid's tale,Elisabeth Moss,"Vanessa Redgrave, Rooney Mara, Eric Bana, Theo James, Aidan Turner, and Jack Reynor",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
242,who owned the first casino in las vegas,local Las Vegas business owners,Caesars Entertainment Corporation,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
244,who is the lead singer of portugal the man,John Baldwin Gourley,John Baldwin Gourley,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
253,who does billy russo become on the punisher,Jigsaw,I don't know,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
255,who was the founder of chick fil a,S. Truett Cathy,Colonel Harland David Sanders,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
257,where is the black box located on an airplane,usually mounted in the aircraft's tail section,cockpit,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
267,when did the brewers go to national league,1998,1998,1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
268,who are the songwriters for the greatest showman,Benj Pasek,Richie Webb and Dave Cohen,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
269,who plays dylan in now you see me,Mark Ruffalo,Danny Lloyd,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
270,where was the ark of the covenant taken,Kiriath-Jearim,"between Eben - ezer, where the Israelites encamped, and Aphek ( probably Antipatris ), where the Philistines encamped.",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
271,harrow on the hill height above sea level,124 metres (408 ft),knoll,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
272,who plays hitler in man in the high castle,Wolf Muser,I don't know.,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
273,lowest city below sea level in the world,"Jericho, West Bank",Paris,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
275,who voiced jack in rise of the guardians,Chris Pine,Chris Pine,1,1,1,1,1.0,3.333.333.333.333.330,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
277,what type of hybrid is the ford fusion,gasoline-electric,gasoline - electric hybrid,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.0,DPR,T5
280,how many states is there in united states,50,Forty - eight,1,1,1,1,1.0,3.333.333.333.333.330,0.4,0.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
281,what is the first harry potter book called in england,Harry Potter and the Philosopher's Stone,The Tales of Beedle the Bard,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,15.384.615.384.615.300,15.384.615.384.615.300,0.0,DPR,T5
282,when did montgomery ward's go out of business,2001,2001,1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
283,who won series 7 of great british bake off,Candice Brown,Candice Brown,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
284,who does the voice of special ed on crank yankers,Jim Florentine,Matthew Lyn Lillard,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
289,who sings nothings gonna hurt you baby,Cigarettes After Sex,Journey,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
290,where in the bible does it talk about manna from heaven,Exodus 16:1–36,Numbers 11 : 1 -- 9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,DPR,T5
291,winds that blow predominantly from the northeast and the southeast are the,The trade winds,The trade winds,1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
297,what is the use of symbolic link in linux,to reorder the file system hierarchy,shortcut files,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
299,time after time song was in what movie,John Tucker Must Die,My Fair Lady,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
305,who sings i'm the one your mother warned you about,Mickey Gilley,Mickey Gilley,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
309,who made the song london bridge is falling down,Unknown,"Robin Thicke, T.I., and Pharrell Williams",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
310,when does love simon come out in canada,"March 16, 2018","September 19, 2018",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333.333.333.333.330,3.333.333.333.333.330,0.0,DPR,T5
317,what were the major components of clays american system,a tariff to protect and promote American industry,"tariff to protect and promote American industry ; a national bank to foster commerce ; and federal subsidies for roads, canals, and other'internal improvements'to develop profitable markets for agriculture",1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,0.0,4.324.324.324.324.320,3.783.783.783.783.780,18.882.437.844.970.700,DPR,T5
325,who sings i wanna be like you jungle book,Louis Prima,American rapper T.I.,0,0,1,1,0.0,0.0,0.2,0.1,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,DPR,T5
327,who wrote the book of philippians in the bible,Paul of Tarsus,Philip the Apostle,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
330,who sold more albums carrie underwood vs kelly clarkson,Carrie Underwood,kelly clarkson,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
331,who is the oldest child in queen sugar,Nova Bordelon,Malcolm,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
332,when did second world war start and end,1 September 1939 – 2 September 1945,"July 7, 1937",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
340,a spider with a skull on its back,Steatoda nobilis,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
349,when did the waltz become popular in england,the Regency period,mid-eighteenth century,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
352,what is expelled out of the body as faeces through the anus,"solid, semisolid, or liquid waste material",waste,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857.142.857.142.850,2.857.142.857.142.850,0.0,DPR,T5
357,who was the chief guest of the official ceremony in the republic day,Crown Prince Mohammed bin Zayed Al Nahyan,John F. Kennedy,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
365,who wrote the practice of the presence of god,"Brother Lawrence (born Nicholas Herman), a 17th-century Carmelite monk",Brother Lawrence,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,33.333.333.333.333.300,33.333.333.333.333.300,0.0,DPR,T5
367,what cities have been capital of the united states,New York City,Washington,0,0,0,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,DPR,T5
372,when did india conduct the nuclear test at pokhran,May 1998,May 1998,1,1,1,1,1.0,6.666.666.666.666.660,0.6,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
373,nhl record for shots on goal in a game,"Ray Bourque (March 21, 1991), 19",I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
374,where does the sagging pants trend come from,1990s,popularity of wearing brightly colored and patterned  boxer shorts,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
375,who has played in the most nba finals games,Bill Russell,Bill Russell,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,3.333.333.333.333.330,3.333.333.333.333.330,3.333.333.333.333.330,1.0,1.0,1.0,0.0,DPR,T5
378,moment of inertia of a rod about a point,radius of gyration,I don't know.,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
380,list of hum tv dramas based on novels,Dayar-e-Dil,I don't know,0,0,0,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,14.285.714.285.714.200,0.0,0.0,0.0,0.0,DPR,T5
381,when does mark show up in grey anatomy,season two,season ten finale,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,DPR,T5
385,in the 1st century bc egypt became a colony of,the Roman Empire,Britain,1,1,1,1,1.0,3.333.333.333.333.330,0.4,0.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
387,who is the cheif minister of uttar pradesh up,Yogi Adityanath,Devendra Gangadharrao Fadnavis,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
388,who played jono on star trek next generation,Chad Allen,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
390,this bear lives in the hundred acre wood,Winnie-the-Pooh,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
398,what is the holy book of lslam called,Quran,Quran,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
409,who won the women's championship at wimbledon this year,Garbiñe Muguruza,Angelique Kerber,0,1,1,1,0.0,3.333.333.333.333.330,0.4,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
415,who won second place in miss universe 2017,Laura González,I don't know,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
417,when does the new wheel of fortune season start,"September 10, 2018","March 22, 2018",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333.333.333.333.330,3.333.333.333.333.330,0.0,DPR,T5
422,who has been elected next president of united nations 2018,María Fernanda Espinosa,Paul - Henri Spaak,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
424,when was the myers briggs type indicator developed,during World War II,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
425,when was the last time australia won the rugby world cup,1999,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
